timestamp,accel_x,accel_y,accel_z
1785305466.295964,2.779668092727661,1.3551181554794312,8.022970199584961
1785305466.2971628,3.1076738834381104,2.6192567348480225,7.168240070343018
1785305466.2991157,1.137245774269104,-0.706289529800415,8.942343711853027
1785305466.3580117,0.9528923034667969,-3.021482467651367,9.66299819946289
1785305466.3582692,1.8842366933822632,-2.319981336593628,9.552865028381348
1785305466.359367,2.094926595687866,-1.6927006244659424,8.643068313598633
1785305466.361094,1.5897499322891235,-2.126051187515259,7.967903137207031
1785305466.4204884,1.2282254695892334,-3.9240965843200684,8.42040729522705
1785305466.421359,1.53707754611969,-5.0469770431518555,9.430760383605957
1785305466.477703,1.9321208000183105,-4.944026470184326,8.803479194641113
1785305466.478373,1.7405846118927002,-5.298368453979492,7.462726593017578
1785305466.4795694,1.6903064250946045,-6.086060523986816,6.830657482147217
1785305466.537041,2.4468741416931152,-7.716512203216553,6.677428722381592
1785305466.53802,2.717418909072876,-8.722076416015625,6.933608055114746
1785305466.5394022,2.0398597717285156,-10.613495826721191,6.766014099121094
1785305466.5411088,1.6879122257232666,-11.355698585510254,6.356605529785156
1785305466.5968993,2.231395959854126,-9.715670585632324,5.710171222686768
1785305466.5981667,1.5490485429763794,-8.868123054504395,7.132327079772949
1785305466.6560626,1.0295066833496094,-8.834604263305664,7.450755596160889
1785305466.657411,2.604891538619995,-5.588066577911377,7.240066051483154
1785305466.6591766,3.5003228187561035,-0.26575639843940735,5.643133640289307
1785305466.7162867,1.316810965538025,2.87064790725708,4.714183330535889
1785305466.7175064,0.7422025203704834,1.8746598958969116,7.354987621307373
1785305466.7190287,0.7589619159698486,0.023942016065120697,10.299856185913086
1785305466.7758377,1.280897855758667,2.360682964324951,10.45547866821289
1785305466.7771666,1.1971008777618408,4.046200752258301,9.643844604492188
1785305466.7791793,1.4245500564575195,2.516305923461914,8.312667846679688
1785305466.837461,1.53707754611969,0.6488286852836609,7.603984832763672
1785305466.838107,1.1635819673538208,2.9089550971984863,9.397241592407227
1785305466.8393612,0.5171475410461426,5.736507415771484,9.979032516479492
1785305466.8959644,1.2114660739898682,3.995922565460205,9.119514465332031
1785305466.897223,1.7166426181793213,-0.5003881454467773,7.357381820678711
1785305466.8989773,1.8483237028121948,-4.6950297355651855,5.837063789367676
1785305466.9577608,1.944091796875,-6.931213855743408,5.918466567993164
1785305466.9584086,3.1052796840667725,-9.41400146484375,6.251260757446289
1785305466.959472,3.399766445159912,-10.508151054382324,6.186617374420166
1785305466.960921,2.2625205516815186,-10.38604736328125,5.257667064666748
1785305467.0157197,1.7812861204147339,-9.411606788635254,3.1244332790374756
1785305467.018066,2.1308395862579346,-9.536105155944824,1.01753568649292
1785305467.0768087,1.7597382068634033,-9.737217903137207,0.8331822156906128
